full_text,sentiment,emotion
"campaña de Gustavo Petro,
Algo que el político colombiano, candidato de la izquierda a la presidencia de Colombia en las próximas elecciones del 29 de mayo, ha negado.
Sin embargo, cuando el pasado mes de abril se trasladó a Madrid para tomarle declaración la magistrada de la...",neutral,fear
"@CARLOSFMEJIA @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA Así era que el centro demoníaco obtenía mayorías en las últimas elecciones. Y como tenían su material, ahora sí lo publican. Quién sabe que más fechorías propias les falta por sacar para inculpar a PETRO PRESIDENTE",negative,anger
"fallas que encontró  @PGN_COL en elecciones a Congreso https://t.co/6dpBhQIKtW y a pesar de todo los aliados de Petro.. Tibisay Lucena C @CNE_COLOMBIA @Doris_MendezC son tan descarados en afirmar que Las elecciones de congreso fueron transparentes , nos van a robar de nuevo",negative,anger
".@odonnellmaria y @ertenembaum entrevistan a Francia Márquez, candidata a vicepresidenta en la fórmula de Gustavo Petro para las elecciones presidenciales de Colombia. La cita, este sábado a las 9 P.M. (Miami), 10 P.M. (Buenos Aires) en #Conecta2 https://t.co/oB0KwVMmkn",neutral,joy
"@LevyRincon INFAME AUN MAS ES: Aprovechar esta imagen para recordarle a Colombia el miedo y terror que produce la guerrilla. Aunque hoy día estos grupos criminales fueron superados y reemplazados por El uribismo, el  Clan del Golfo  y otros.
Siempre sucede unas semanas antes de elecciones.",negative,fear
"@Danielacad3 FICO PRESIDENTE Y SIN TANTA VUELTA
Y Petro el candidato eterno, que alguien le haga un dibujito ya que le hemos dicho en repetidas ELECCIONES que Colombia NO lo quiere y el nada que entiende y pretende robarse las elecciones a fraude , amenazas , terror o comprando conciencias",negative,anger
"@CARLOSFMEJIA @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA El congreso electo es ilegítimo, no debe posesionarse.
Las elecciones parlamentarias fueron fraudulentas y deben repetirse.
El registrador debe ser retirado del cargo, debe haber una purga en la registraduria.
Cárcel para quienes se les comprueben delitos electorales.",negative,anger
"@AABenedetti Pero son ustedes los que siembran el terror...Colombia entera los sabe y les cobrará duró en las elecciones próximas, saldrán como pega de guama de la actividad política...no habrá tolda qué lo reciba con su prontuario y él de sus amigotes.",negative,anger
"El paro armado está hecho bajo la excusa de la extradición de Otoniel, esto creo más que todo es para meter miedo en la cercanía de las elecciones presidenciales, no sé a que candidato perjudicaría más? 
Pero volvimos a las épocas muy oscuras de la guerra en Colombia.",negative,fear
"@EliorCymbler @marwhite01 @PalomaValenciaL @MariaFdaCabal @RafaNietoLoaiza El Hampón @Registraduria sigue adelante con su proyecto de robarnos Las elecciones presidenciales a favor de Petro, No podemos confiar en @CNE_COLOMBIA @Doris_MendezC pese a encontrar fraude en elecciones de congreso han manifestado que fueron transparentes, votar 2 veces legal?",negative,anger
"@ramsisHG7 @arnold3m @Camilo_QuevedoC @PATATAdibujo A ver papito, estas son las elecciones presidenciales. Por si no sabía un presidente dirige todo un país, en este caso Colombia, el cual incluye también a Cali. Así que no importa el color de piel o la ciudad, a todos nos incumbe pedazo de tarado y racista",negative,fear
"Lo más visto del día: @LaNocheNTN24: '¿Por qué cree usted que debe ser suspendido Alexander Vega, Registrador Nacional del Estado Civil a 23 días de las elecciones presidenciales en Colombia? Responde el abogado constit… https://t.co/GYNN43Mzj2, see more https://t.co/V2dteOMxQQ",neutral,anger
"@LaNocheNTN24 @CGurisattiNTN24 @Germancalderon1 @JeffersonNTN24 NO TENGO CONFIANZA EN EL CNE, NI EN LA REGISTRADURIA. Es evidente que han mucho dinero de por  medio para favorecer a Gustavo Petro, porque el y todo el mundo sabe que si no es robándose las elecciones nunca va a ser presidente. La Democracia Colombia nunca a estado tan amenazada",negative,anger
"@montanertwiter Te pido que ores con todo tu corazón por el bien de Colombia, para que no nos caigamos en desgracia en las próximas elecciones. Gracias 🙏🏼",positive,joy
@NTN24 Ayúdenos Claudia en@el@exterior que las ong hablan mal del colombia y creen buenos a los bandidos guerrillero … nos quieren Tovar las elecciones,negative,anger
"@OBJECONCIENCIA @HamonJairo @waldoalarconho1 @BeatrizCano25 @darimer_g @petrogustavo @Registraduria @CNE_COLOMBIA De que sirve que Colombia vote por @FicoGutierrez sí el Hampón @Registraduria nos va a robar Las próximas elecciones presidenciales con el apoyo de Tibisay Lucena colombiana @CNE_COLOMBIA @Doris_MendezC , ellos son aliados de Petro. @PGN_COL despierte, @FiscaliaCol adiós país.",negative,anger
"Si Duque ""NO actúa contra el @RegistraduraCol y el @CNE_COLOMBIA ante el robo de las elecciones del 13 de marzo y deja todo igual para el 29 de mayo, pasará a ocupar el primer lugar de Santos, porq será traidor y con él se robaron elecciones del congreso y de presidencia...!",negative,anger
"@Soylaauraaa @richiparedesh Dios que angustia. Ojalá alguien haga algo. Que impotencia. Si quieren que se queden con las elecciones, pero que dejen a Colombia en paz.",negative,anger
"@Soylaauraaa @richiparedesh Dios que angustia. Ojalá alguien haga algo. Que impotencia. Si quieren que se queden con las elecciones, pero que dejen a Colombia en paz.",negative,anger
"@NTN24 se siente el sesgo de parte del CNE,por parte de ese magistrado además dice que está investigando pero están es ganando tiempo a que pasen las elecciones no están pensando para nada en Colombia.",negative,anger
"@FicoGutierrez La guajira solo es parte de Colombia en época de elecciones solamente 
Cuando llegan al poder ni se acuerdan",negative,anger
"@EEColombia2020 @JEP_Colombia Lo de la guerrilla que espere, estamos en elecciones y hay que impulsar al candidato guerrillero ( Petro) , todo los que sea falsos positivos , autodefensas y que sirva para ensuciar a Uribe injustamente hay que filtrarlo ya !!!!!",negative,anger
"Colombia está siendo agitada sutilmente mientras se acercan las elecciones. 🇨🇴 parece resistirle al comunismo, la izquierda sin el poder hace estragos, mientras algunos duermen otros no lo pueden hacer por la violencia. Da angustia ver notícias. 

¿Conmoción Interior?....",negative,fear
"Colombia está siendo agitada sutilmente mientras se acercan las elecciones. 🇨🇴 parece resistirle al comunismo, la izquierda sin el poder hace estragos, mientras algunos duermen otros no lo pueden hacer por la violencia. Da angustia ver notícias. 

¿Conmoción Interior?....",negative,fear
"@Enrique_GomezM Hay que sacar al registrador y desbaratar lo que deben tener planeado para robarse las elecciones. Procuradora y fiscalía, está en sus manos salvar a Colombia de las garras del señor de las bolsas y sus malandros.",negative,anger
@PGN_COL @moecolombia @Transparente1co @MinInterior @CNE_COLOMBIA @IvanDuque @mluciaramirez @FiscaliaCol 🔴🔴QUÉ ESTÁN ESPERANDO PARA ACTUAR???  HAY SUFICIENTES PRUEBAS DE FRAUDE EL 13 DE MARZO!!🆘NO HAY GARANTÍAS PARA LAS ELECCIONES PRESIDENCIALES EN COLOMBIA‼️@Almagro_OEA2015 https://t.co/zgcvhu5HSj,negative,anger
"En #QuímicaEnLaFórmula, la candidata Ingrid Betancourt contó qué tanto sabe de su fórmula, en el camino a la Presidencia de Colombia ⬇️ https://t.co/KTgkWN1G2H",neutral,joy
@CGurisattiNTN24 El senador de Colombia en EEUUtiene toda la razón sino tienen gente preparada para las elecciones nos van a robar la libertad en primera vuelta,negative,fear
@CGurisattiNTN24 El senador de Colombia en EEUUtiene toda la razón sino tienen gente preparada para las elecciones nos van a robar la libertad en primera vuelta,negative,fear
"@MONYRODRIGUEZOF Piensan sabotear las elecciones, sospechoso si es a días de las elecciones y el ejército de Colombia nuestros héroes, brillan por su ausencia por algo será ...",negative,anger
"@_RoqueCastro Roque visualiza tu candidato ganador,visualiza la victoria de COLOMBIA. No declaren a ese hombre ganador. Trabajen su localidad Colombia está a Tiempo de salvar su pellejo y bueno toca trabajar duro..en estos días que quedan para las elecciones. 💪💫🙏🙌",positive,joy
"@RevistaSoHo Resultado de las elecciones: 
80% que se vaya Marbelle de Colombia
15% todos demás candidatos
5% voto en blanco ns/nr",negative,joy
@JulianFMartinez @IvanDuque @DNP_Colombia Por ahí escuché que no van a comprar votos sino que que van a pagar por retener las cédulas hasta después de las elecciones,negative,anger
"@HELIODOPTERO @petrogustavo El que llena plazas cada 4 años le votan el día de elecciones los mismos 4 millones, pero claro el mismo cuento que dizque le roban las elecciones. Colombia le dirá No a  Petro por enésima vez.",negative,anger
"#ParoArmado nos afecta a todos está ola de violencia antes de elecciones , anhelo ver a mi colombia sin violencia , en paz , pero creo que es soñar despierto  😕",negative,sadness
"@davoelbravo @CARLOSFMEJIA @el82ye78 @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA Por qué cree que no hacen nada, por la sencilla razón que no hay nada, no existen evidencias, perdieron las elecciones.",negative,anger
"#ColombiaDecide | Fajardo les respondió a quienes le piden un encuentro con Gustavo Petro

https://t.co/5IhrL6apo4",neutral,anger
"@MariaFdaCabal El @CNE_COLOMBIA  es de izquierda ,por eso la democracia de colombia esta en peligro...no tocan al registrador vega y se la pasan sacando encuestas chimbas donde gana el kk...nada q hacer no hay garantías ,nos van a robar las elecciones para montar a petro.",negative,sadness
"@RoxanaKreimer Colombia, Roxana las cosas están terribles acá, el 29 de mayo son las próximas elecciones presidenciales.",negative,anger
"@lauraro Yo vote por el NO y hoy siento que nos podría pasar lo mismo con las próximas elecciones si no actuamos unidos!!
Dejemos el odio irracional, aquí se trata es de salvar el presente y futuro de Colombia!
Quien más se une??",positive,anger
"Que sentirá el registrador nacional de Colombia que los ciudadanos no le tienen confianza en su trabajo que dejó que pasaran irregularidades en su misión y que su trabajo es oscuro por el montón de casos ilegales en las elecciones de congreso , las cortes mirando para otro lado.!",negative,anger
Las próximas elecciones en Colombia. Demócrata. https://t.co/MolYppvL8o,neutral,joy
"‼️ESTE ES EL NÚMERO UNO EN LA @Registraduria CUMPLIENDO
CON LA “MISIÓN” y “VISIÓN”DE
NEGOCIAR RESULTADOS EN LAS
ELECCIONES DE COLOMBIA‼️ https://t.co/dpErXAOzS1 https://t.co/OvRAyhSRG8",neutral,joy
"Colombia murió el día q J.M. Santos fué elegido presidente. No fué al azar la denominación ""Día D"" q se le dió al supuesto ""primer día de paz"" luego d la firma d la rendición del estado ante el narcoterrorismo d las farc. No obstante les diremos NO aunque se roben las elecciones. https://t.co/OqmnQdbn8O",negative,sadness
¡TOMA NOTA! La violencia del conflicto armado en Colombia resurge antes de las elecciones https://t.co/fPOo1Fwjq7,negative,sadness
@PGN_COL S.O.S. Colombia no podemos permitir que nos roben las elecciones. Viva @PalomaValenciaL gran patriota https://t.co/N9ro2Fy5fF,positive,joy
Que mierda que los favoritos a ganar las elecciones tengan todos escándalos de corrupcion XDD ay mi Colombia,negative,anger
"#ColombiaDecide | Petro sobre arremetida de Clan del Golfo: “Quien mataron en Sucre es militante del Pacto Histórico”. 

El candidato habló al respecto durante acto de campaña en Valledupar https://t.co/o16oE6dF2C",negative,anger
Ya nos habían dicho que iban a ser una de las elecciones más violentas de Colombia. Duele el país. #ParoArmado https://t.co/XKULPQogXr,negative,anger
"La diferencia entre las elecciones de Venezuela 1999 y Colombia 2022, es que en Colombia ya ""vimos el futuro"".

En el momento en que el socialismo llegue al poder, el empresario se va del país.

El empobrecimiento del país será a mayores velocidades.",negative,anger
"No les parece raro q a pocos días de las elecciones presidenciales en colombia extraditen un narcotraficante para ocultar la verdad, y como consecuencia de esto desencadena un paro armado en algunas regiones del país. Quieren salvar a colombia de Petro! Se necesita un cambio ya!!",negative,anger
"Mucho discurso barato, mucho bla...bla...bla y 200 Vehículos quemados, el Club del Clan con el Control en todo el País. Acá Iván Duque no es el Presidente, Otoniel le dió Golpe de Estado, las Elecciones Controladas por Fraude, y, Colombia en guerra, pero aquí no ha pasado nada.",negative,fear
"@PGN_COL @RedMasNoticias @NoticiasCaracol @NoticiasRCN @elespectador @ElNuevoSiglo @AtlanticoEmi @larepublica_co @elheraldoco @RevistaSemana @BluRadioCo Y es que la procuraduria existe en colombia ?vea ps ,la hora de aparecer a 15 dias de elecciones presidenciales cuando ya no hay nada que hacer muy charros",negative,anger
"En la Video Columna de La Conversa, este sábado 8:00 p.m.,  análisis sobre la actualidad política y social de Colombia, a escasos días de elecciones presidenciales. https://t.co/DcJRYFli9t",neutral,joy
"@Rettador @petrogustavo @Registraduria @PactoHistorico SI COLOMBIA QUIERE TENER UNAS ELECCIONES DIÁFANAS LIMPIAS Y TRANSPARENTES 
DEBE RETIRAR ESE REGISTRADOR Y TERMINAR EL NEFASTO CONTRATO CON INDRA 
O SE PIERDE LA DEMOCRACIA LA LIBERTADAD DE LOS COLOMBIANOS Y EL PAÍS. 
NO AL REGISTRADOR EN ELECCIONES PRESIDENCIALES.",negative,anger
"@Karlaarcila Un día un traidor infame, se robó un plebiscito, ilegalmente lo implementó, el congreso lo avaló cómplice del robo pues sus representados dijeron No, como pueblo dormido no protestamos de forma  contundente, por eso hoy se quieren robar las Elecciones. Hay que salvar a Colombia. https://t.co/nwTpis2e8C",negative,anger
@CARLOSFMEJIA @infopresidencia @PGN_COL @FiscaliaCol @CNE_COLOMBIA Hace 4 años un perro rabioso se robó las elecciones,negative,anger
"Qué buena esta herramienta de @elespectador para encontrar el candidato afín a la visión de país que uno quiere. #Recomendada ✅
Útil y pedagógica. 
#MatchPresidencial 
https://t.co/mIcCgFHjXy",positive,joy
Parece que Petro quiere incendiar a Colombia antes de las elecciones!,negative,fear
"El candidato a la Presidencia de Colombia Gustavo Petro, anunció este viernes que retomará las relaciones diplomáticas con Venezuela si gana las elecciones y llega a la jefatura del Estado colombiano.",neutral,joy
"Procuraduría alerta que 2925 jurados de votación están inhabilitados para estar en las presidenciales.
6 de mayo 2022
https://t.co/J4x8h9QGBR",neutral,joy
"@JuanDanielMos19 Pendejo eso ya pasó en 2018, parece que tú y las putas uribistas no saben ni que pasó en las elecciones de cada 4 años, otra prueba que en Colombia en un país de mierda con gente muy pendeja.",negative,anger
"@NHolhuin @alezandrazam72 Modelo de Tutela que busca dar ""Tranquilidad"" Para las Elecciones Presidenciales del #29Mayo 2022 en #Colombia 
https://t.co/DRb5uWlUa3",neutral,joy
Haga “match” con la elección presidencial | EL ESPECTADOR https://t.co/nl4e0pwVr4,neutral,joy
@CARLOSFMEJIA @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA Deberían hacer traslados de los REGISTRADORES  REGIONALES LOCALES . Evitar que se queden en los mismos sitios de las elecciones para congreso y consulta.,neutral,anger
(Elecciones Colombia: ¿qué muestran las más recientes encuestas presidenciales?) publicado en https://t.co/XJ7xIbDAXM - https://t.co/kBmI6ABhaM https://t.co/nSvSYkakSV,neutral,fear
"@CARLOSFMEJIA @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA #PorMiPaísYo Yo exijo garantías para las elecciones Presidenciales, No hay garantías electorales con el Registrador Vega.",negative,anger
"¿Se retirará un candidato presidencial? Esto respondieron los candidatos ante la pregunta de El Espectador en el debate organizado en Eafit, en Medellín. 
https://t.co/XTfCIWOp9Z",neutral,fear
"La polarización nos destruye!

Menos mal que la mayoría de colombianos tenemos ideología de centro! Tenemos el poder de salvar a nuestra familia de esta crisis que se avecina!

La opción de cambio es @sergio_fajardo
#FirmesConFajardo
#UnPresidenteProfesor

https://t.co/GF4Fb9yOaz",negative,fear
@JhonFalcon11 @KamiloAlvarez @LEO0492 @ecoaneko @fdbedout @donarielm @CesarPachonAgro @LauraMMoficial @LuzMBernalParra @Betocoralg https://t.co/LqVeIRR8oh ello pollo Carvajal va a cantar y Petro va tener que correr.,negative,joy
@ANIABELLO_R @Karlaarcila tienen las elecciones cuadradas para que gane el hampón de @petrogustavo como sea.Yo no creo en la @Registraduria ni en @IndraenColombia que tiene cuestionamientos de su software en otros países pero la @CGR_Colombia @PGN_COL @CNE_COLOMBIA pasan de agache y no dicen ni hacen nada,negative,anger
@ernestomaciast @Registraduria @PGN_COL tienen las elecciones cuadradas para que gane el hampón de @petrogustavo como sea.Yo no creo en la @Registraduria ni en @IndraenColombia que tiene cuestionamientos de su software en otros países pero la @CGR_Colombia @PGN_COL @CNE_COLOMBIA pasan de agache y no dicen ni hacen nada,negative,anger
"Rodolfo Hernández: “Fajardo como que ya pasó a la historia”. 
https://t.co/TNKkWRoArj

#Elecciones2022 #ColombiaDecide https://t.co/15lS8za2CK",negative,anger
En Colombia con las elecciones,neutral,joy
"@DIAPOLA @MargaritaRepo @caballobraulio @petrogustavo @PGN_COL @CNE_COLOMBIA @IvanDuque @infopresidencia ADELANTE CON LA TUTELATÓN. QUIEN SE APUNTA??' ...ALLI GANAMOS, LOS BUENOS, QUE SOMOS MAS; FRENTE AL #PACTOVEGAPETRO PARA ROBARSE LAS ELECCIONES cesaraugustoramirezvalencia@gmail.com si me das tu correo envío tutela. GRACIAS UNIDOS GANAMOS #FICOPRESIDENTE  https://t.co/KpcXgLOFOJ",negative,anger
"Occidente es debil solo había atacar a Colombia con paro nacional, elecciones limpias, Rusia atacara Ucrania lavadero de Nazis, China bloqueara su cadena suministro y Patron oro volviera
Bitcoin se expanda en todo el mundo",negative,anger
